Timestamp,"
What age range are you in?",Was your holiday ,What was the main purpose of your Holiday,How did you book your holiday,How recent was this holiday,How would you describe your holiday type,How many people were in your travel group?,Approximately how much did your accommodation cost per room per night (€)?,How many nights did your holiday last?,"Overall Holiday Cost - Approximate total spend for all travellers (€), including  cost of holiday + daily spending.",How satisfied were you with your holiday overall?,Would You Take This Type of Holiday Again?,Did You Travel by Air?,How many holidays have you taken in the last 12 months?
25/09/2026 13:39,65+,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,Greater than 3 months ago but within the last 6 months,A family holiday,2,100,7,2000,4,Yes,Yes,2
25/09/2026 13:48,55-64,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,In last 3 months,A holiday with friends,4,80,4,1500,3,Yes,Yes,4
25/09/2026 14:09,25-34,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,In last 3 months,A holiday with friends,4,22,4,400,4,Yes,Yes,5
25/09/2026 14:18,45-54,A Holiday abroad (outside Ireland),City Break,A package holiday,Between 6 and 12 Months ago,A family holiday,2,1000,5,1000,4,Yes,Yes,2
25/09/2026 14:45,55-64,A Holiday abroad (outside Ireland),Beach Holiday abroad,A package holiday,Greater than 3 months ago but within the last 6 months,A family holiday,2,50,7,3000,4,Yes,Yes,3
25/09/2026 15:18,55-64,A Staycation in Ireland,Other,Independently Booked online,In last 3 months,A family holiday,3,300,3,2000,4,Yes,No,3
25/09/2026 15:19,35-44,A Staycation in Ireland,Other,Independently Booked online,In last 3 months,A family holiday,3,250,4,1800,3,Yes,No,5
25/09/2026 15:51,25-34,A Holiday abroad (outside Ireland),City Break,Independently Booked online,In last 3 months,A family holiday,2,130,4,800,5,Yes,Yes,2
25/09/2026 16:14,25-34,A Holiday abroad (outside Ireland),Other,Independently Booked online,Between 6 and 12 Months ago,A family holiday,2,80,4,500,5,Yes,Yes,1
25/09/2026 16:23,35-44,A Holiday abroad (outside Ireland),City Break,Independently Booked online,In last 3 months,Solo holiday,1,190,2,700,5,Yes,Yes,5
25/09/2026 17:12,35-44,A Holiday abroad (outside Ireland),City Break,Independently Booked online,In last 3 months,A holiday with friends,5,100,7,200,3,No,Yes,3
25/09/2026 17:30,45-54,A Holiday abroad (outside Ireland),Other,Independently Booked online,In last 3 months,A family holiday,7,200,7,4000,4,Yes,Yes,3
25/09/2026 17:31,45-54,A Holiday abroad (outside Ireland),To visit family / Friends,Independently Booked online,In last 3 months,A family holiday,3,60,7,5000,4,No,Yes,2
25/09/2026 17:49,35-44,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,In last 3 months,A family holiday,10,50,15,800,5,Yes,Yes,2
